"filename", "language", "TypeScript", "CSS", "XML", "TypeScript JSX", "JSON", "comment", "blank", "total"
"c:\Users\kopan\OneDrive\Desktop\pipes\components\Link\Link.tsx", "TypeScript JSX", 0, 0, 0, -21, 0, 0, -7, -28
"c:\Users\kopan\OneDrive\Desktop\pipes\components\UI\Link\Link.tsx", "TypeScript JSX", 0, 0, 0, 21, 0, 0, 7, 28
"c:\Users\kopan\OneDrive\Desktop\pipes\components\UI\alert\alert.module.css", "CSS", 0, 22, 0, 0, 0, 0, 3, 25
"c:\Users\kopan\OneDrive\Desktop\pipes\components\UI\alert\alert.tsx", "TypeScript JSX", 0, 0, 0, 19, 0, 0, 4, 23
"c:\Users\kopan\OneDrive\Desktop\pipes\components\UI\loader\loader.module.css", "CSS", 0, 16, 0, 0, 0, 0, 1, 17
"c:\Users\kopan\OneDrive\Desktop\pipes\components\UI\loader\loader.tsx", "TypeScript JSX", 0, 0, 0, 10, 0, 0, 2, 12
"c:\Users\kopan\OneDrive\Desktop\pipes\components\UI\range\range.module.css", "CSS", 0, 38, 0, 0, 0, 0, 4, 42
"c:\Users\kopan\OneDrive\Desktop\pipes\components\UI\range\range.tsx", "TypeScript JSX", 0, 0, 0, 28, 0, 0, 4, 32
"c:\Users\kopan\OneDrive\Desktop\pipes\components\alert\alert.module.css", "CSS", 0, -20, 0, 0, 0, 0, -1, -21
"c:\Users\kopan\OneDrive\Desktop\pipes\components\alert\alert.tsx", "TypeScript JSX", 0, 0, 0, -16, 0, 0, -4, -20
"c:\Users\kopan\OneDrive\Desktop\pipes\components\canvas\canvas.tsx", "TypeScript JSX", 0, 0, 0, 20, 0, 0, 0, 20
"c:\Users\kopan\OneDrive\Desktop\pipes\components\canvas\utils.ts", "TypeScript", -6, 0, 0, 0, 0, 0, 0, -6
"c:\Users\kopan\OneDrive\Desktop\pipes\components\file-loader\file-loader.module.css", "CSS", 0, 9, 0, 0, 0, 0, 2, 11
"c:\Users\kopan\OneDrive\Desktop\pipes\components\file-loader\file-loader.tsx", "TypeScript JSX", 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\kopan\OneDrive\Desktop\pipes\components\floor-form\floor-form.module.css", "CSS", 0, 42, 0, 0, 0, 0, 5, 47
"c:\Users\kopan\OneDrive\Desktop\pipes\components\floor-form\floor-from.tsx", "TypeScript JSX", 0, 0, 0, 12, 0, 0, 3, 15
"c:\Users\kopan\OneDrive\Desktop\pipes\components\header\header.module.css", "CSS", 0, -5, 0, 0, 0, 0, -1, -6
"c:\Users\kopan\OneDrive\Desktop\pipes\components\header\header.tsx", "TypeScript JSX", 0, 0, 0, -1, 0, 0, 0, -1
"c:\Users\kopan\OneDrive\Desktop\pipes\components\loader\loader.module.css", "CSS", 0, -16, 0, 0, 0, 0, -1, -17
"c:\Users\kopan\OneDrive\Desktop\pipes\components\loader\loader.tsx", "TypeScript JSX", 0, 0, 0, -10, 0, 0, -2, -12
"c:\Users\kopan\OneDrive\Desktop\pipes\components\manual-modal\manual-modal.module.css", "CSS", 0, 29, 0, 0, 0, 0, 2, 31
"c:\Users\kopan\OneDrive\Desktop\pipes\components\manual-modal\manual-modal.tsx", "TypeScript JSX", 0, 0, 0, -23, 0, 0, -2, -25
"c:\Users\kopan\OneDrive\Desktop\pipes\components\manual-modal\manual-step.tsx", "TypeScript JSX", 0, 0, 0, 41, 0, 0, -2, 39
"c:\Users\kopan\OneDrive\Desktop\pipes\package-lock.json", "JSON", 0, 0, 0, 0, -1573, 0, 0, -1573
"c:\Users\kopan\OneDrive\Desktop\pipes\package.json", "JSON", 0, 0, 0, 0, -6, 0, 0, -6
"c:\Users\kopan\OneDrive\Desktop\pipes\pages\_app.tsx", "TypeScript JSX", 0, 0, 0, -1, 0, 0, 0, -1
"c:\Users\kopan\OneDrive\Desktop\pipes\pages\index.tsx", "TypeScript JSX", 0, 0, 0, 13, 0, 0, 2, 15
"c:\Users\kopan\OneDrive\Desktop\pipes\public\check.svg", "XML", 0, 0, 9, 0, 0, 1, 1, 11
"c:\Users\kopan\OneDrive\Desktop\pipes\public\close.svg", "XML", 0, 0, 4, 0, 0, 1, 3, 8
"c:\Users\kopan\OneDrive\Desktop\pipes\styles\globals.css", "CSS", 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\kopan\OneDrive\Desktop\pipes\utils\preparePlanFile.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 1
"Total", "-", -5, 116, 13, 93, -1579, 2, 23, -1337